Description :  ; walk_time = 2.0 ; speed_up_time = 3.0 ; balancing_time = 0.0
RealTime,Time,CalculationTime,MeasuredVelocity,FilteredVelocity,BalancingGainsInner,BalancingGainsOuter,Roll,SteeringAngle,RollRate,ControlInput,BalancingSetpoint,gy,gz,ax,ay,az,imu_read_timing,SteerMotorCurrent
08:56:54.053257,0.80959,0.00668,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00156,0.00469,0.00000,0.00363,-0.00134,-0.00378,-0.07454,0.98350,0.80045,0.16361
08:56:54.062395,0.81874,0.00563,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00141,0.00423,0.00000,0.00164,0.00401,-0.00464,-0.07479,0.98491,0.81033,0.17094
08:56:54.073973,0.82958,0.00610,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00080,0.00240,0.00000,-0.00004,-0.00271,-0.00427,-0.07607,0.98472,0.82116,0.16606
08:56:54.084504,0.84016,0.00633,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00012,-0.00035,0.00000,0.00027,-0.00118,-0.00281,-0.07820,0.98442,0.83101,0.16606
08:56:54.094371,0.85069,0.00650,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00019,0.00056,0.00000,0.00012,0.00202,-0.00281,-0.07649,0.98515,0.84157,0.16117
08:56:54.105968,0.86229,0.00748,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00049,0.00148,0.00000,-0.00034,-0.00408,-0.00354,-0.07460,0.98338,0.85293,0.16850
08:56:54.115216,0.87154,0.00636,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00027,-0.00081,0.00000,0.00027,-0.00195,-0.00281,-0.07655,0.98265,0.86236,0.17582
08:56:54.126039,0.88214,0.00675,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00058,-0.00173,0.00000,0.00256,-0.00011,-0.00323,-0.07424,0.98606,0.87291,0.15629
08:56:54.135721,0.89204,0.00630,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00187,0.00560,0.00000,0.00012,-0.00225,-0.00287,-0.07375,0.98423,0.88292,0.15873
08:56:54.146355,0.90268,0.00657,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00477,0.01431,0.00000,0.00012,-0.00042,-0.00256,-0.07582,0.98283,0.89349,0.15629
08:56:54.156638,0.91296,0.00648,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00042,-0.00127,0.00000,0.00042,-0.00225,-0.00433,-0.07491,0.98314,0.90386,0.15873
08:56:54.167568,0.92388,0.00712,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00141,0.00423,0.00000,-0.00004,-0.00027,-0.00311,-0.07631,0.98344,0.91470,0.15385
08:56:54.177337,0.93367,0.00653,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00217,0.00652,0.00000,-0.00263,0.00126,-0.00275,-0.07601,0.98423,0.92454,0.16117
08:56:54.188094,0.94350,0.00565,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00134,-0.00402,0.00000,-0.00187,0.00050,-0.00506,-0.07558,0.98478,0.93504,0.17827
08:56:54.198838,0.95516,0.00694,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00073,-0.00218,0.00000,0.00455,-0.00317,-0.00342,-0.07594,0.98533,0.94559,0.16850
08:56:54.209401,0.96574,0.00705,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00241,-0.00722,0.00000,-0.00110,0.00111,-0.00146,-0.07668,0.98356,0.95678,0.16117
08:56:54.218294,0.97463,0.00575,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00012,-0.00035,0.00000,-0.00065,0.00370,-0.00317,-0.07460,0.98399,0.96621,0.16850
08:56:54.229447,0.98578,0.00653,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00058,-0.00173,0.00000,0.00119,-0.00195,-0.00470,-0.07601,0.98399,0.97663,0.16361
08:56:54.239623,0.99595,0.00633,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00065,0.00194,0.00000,0.00302,-0.00164,-0.00421,-0.07430,0.98741,0.98679,0.16361
08:56:54.250253,1.00657,0.00660,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00042,-0.00127,0.00000,-0.00080,-0.00118,-0.00488,-0.07485,0.98350,0.99737,0.16117
08:56:54.260532,1.01685,0.00652,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00309,0.00927,0.00000,0.00027,-0.00088,-0.00476,-0.07497,0.98423,1.00770,0.15385
08:56:54.271360,1.02767,0.00691,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00263,0.00789,0.00000,0.00073,0.00034,-0.00293,-0.07363,0.98728,1.01849,0.16117
08:56:54.281850,1.03819,0.00707,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00195,-0.00585,0.00000,-0.00248,-0.00118,-0.00293,-0.07497,0.98271,1.02905,0.16361
08:56:54.291513,1.04784,0.00636,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00180,-0.00539,0.00000,0.00271,-0.00134,-0.00317,-0.07552,0.98362,1.03867,0.15629
08:56:54.302121,1.05844,0.00652,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,-0.00119,-0.00356,0.00000,0.00149,0.00157,-0.00201,-0.07527,0.98210,1.04933,0.16117
08:56:54.312260,1.06859,0.00638,0.00000,0.00000,"[5.00000,0.00000,0.00000]","[1.30000,0.00000,0.00000]",0.00000,0.00000,0.00156,0.00469,0.00000,0.00027,0.00034,-0.00360,-0.07405,0.98350,1.05988,0.17827
